FID_data,__1,PURCHASE,FLOORSZ,TYPEDETCH,TPSEMIDTCH,TYPETRRD,TYPEBNGLW,TYPEFLAT,BLDPWW1,BLDPOSTW,BLD60S,BLD70S,BLD80S,BLD90S,BATH2,BEDS2,GARAGE1,CENTHEAT,UNEMPLOY,PROF,BLDINTW,X,Y,coords.x1,coords.x2,optional,FID_London,NAME,GSS_CODE,HECTARES,NONLD_AREA,ONS_INNER,LON,LAT
1322,1322,51000,73,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,11.72690763,18.46353884,0,544700,183500,544700,183500,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.086367822,51.53136004
1451,1451,52000,65,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,12.07482993,21.30054189,0,541600,185200,541600,185200,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.04238512,51.54742358
1233,1233,53000,37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.727744807,31.28111348,0,507400,182300,507400,182300,TRUE,6,Hillingdon,E09000017,11570.063,0,F,-0.451563038,51.52890311
1089,1089,53500,46,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5.857336169,27.67734239,0,547400,178800,547400,178800,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.123304325,51.48842589
1182,1182,53500,29,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.920543649,28.84806805,0,506300,181100,506300,181100,TRUE,6,Hillingdon,E09000017,11570.063,0,F,-0.467778282,51.51832421
1246,1246,54000,43,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3.678817403,30.57909605,0,509300,182500,509300,182500,TRUE,6,Hillingdon,E09000017,11570.063,0,F,-0.424118801,51.53033626
1946,1946,54000,58,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3.922861381,31.69228171,0,554100,191500,554100,191500,TRUE,5,Havering,E09000016,11445.735,210.763,F,0.225304133,51.60075754
135,135,55000,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.269997112,34.48302117,1,531600,165300,531600,165300,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.109170448,51.37099066
215,215,55000,48,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7.914026587,28.95430849,0,530900,166900,530900,166900,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.118632581,51.38553304
459,459,55000,42,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.037378865,36.05036448,0,535200,170500,535200,170500,TRUE,2,Bromley,E09000006,15013.487,0,F,-0.05549616,51.41687976
556,556,55000,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8.761930011,34.15409055,0,536300,171600,536300,171600,TRUE,12,Lewisham,E09000023,3531.706,16.795,T,-0.03926226,51.42650241
1033,1033,55000,61,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,11.53482509,24.79134248,0,543300,177900,543300,177900,TRUE,13,Greenwich,E09000011,5044.19,310.785,F,0.063920111,51.48139191
1169,1169,55000,97,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,10.26655202,30.23379384,0,546800,180600,546800,180600,TRUE,13,Greenwich,E09000011,5044.19,310.785,F,0.115416611,51.50475748
1201,1201,55000,90,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,13.18222487,24.36995056,0,533600,181600,533600,181600,TRUE,26,Tower Hamlets,E09000030,2157.501,179.707,T,-0.074297703,51.51702022
1239,1239,55000,50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4.219185352,55.65685571,0,518400,182300,518400,182300,TRUE,4,Ealing,E09000009,5554.428,0,F,-0.293043006,51.52670335
1608,1608,55000,42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.902263943,32.05876985,0,547500,187400,547500,187400,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.128345551,51.5656817
1887,1887,55000,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.922861381,31.69228171,0,554700,190500,554700,190500,TRUE,5,Havering,E09000016,11445.735,210.763,F,0.233520444,51.59160752
1198,1198,55450,28,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.961060759,35.27724665,0,505300,181600,505300,181600,TRUE,6,Hillingdon,E09000017,11570.063,0,F,-0.482037489,51.52300621
169,169,55500,29,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.860874503,39.7921161,0,534000,166000,534000,166000,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.074443958,51.37672062
172,172,55500,31,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5.951352019,48.4373851,0,532600,166100,532600,166100,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.094512365,51.37794816
240,240,55750,36,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6.091248345,35.21728049,0,534400,167500,534400,167500,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.068131809,51.3901074
458,458,56000,42,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5.450193335,41.17902037,0,527900,170500,527900,170500,TRUE,20,Merton,E09000024,3762.466,0,F,-0.160428048,51.41857404
1725,1725,56000,46,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.924514738,34.36710515,0,544700,188600,544700,188600,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.088466526,51.57719094
722,722,56500,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7.555104408,41.17226022,0,530100,173800,530100,173800,TRUE,10,Lambeth,E09000022,2724.94,43.927,T,-0.127591173,51.44773308
1172,1172,56500,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5.02328676,24.74159681,0,509300,180700,509300,180700,TRUE,6,Hillingdon,E09000017,11570.063,0,F,-0.424677315,51.51415594
1967,1967,57000,84,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4.717948718,24.66960352,0,550500,192000,550500,192000,TRUE,5,Havering,E09000016,11445.735,210.763,F,0.173573159,51.6062241
1039,1039,57500,72,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,5.596939803,27.94929462,0,549800,178000,549800,178000,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.157510855,51.4806062
1434,1434,57500,48,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,13.81285805,17.33635016,0,540900,185000,540900,185000,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.032215328,51.54580148
1607,1607,57750,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6.902263943,32.05876985,0,547500,187400,547500,187400,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.128345551,51.5656817
1247,1247,57950,26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.850223918,23.44713491,0,512300,182500,512300,182500,TRUE,4,Ealing,E09000009,5554.428,0,F,-0.380883305,51.52974744
389,389,58000,35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6.303561226,34.36036224,0,526700,169600,526700,169600,TRUE,20,Merton,E09000024,3762.466,0,F,-0.177999798,51.41075429
427,427,58000,111,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,7.037378865,36.05036448,0,535500,170100,535500,170100,TRUE,2,Bromley,E09000006,15013.487,0,F,-0.051337021,51.41321315
1098,1098,58000,52,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.857336169,27.67734239,0,547900,179000,547900,179000,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.13058531,51.49009258
1854,1854,58000,30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8.379666402,24.62820283,0,536200,190100,536200,190100,TRUE,16,Waltham Forest,E09000031,3880.793,0,F,-0.033552404,51.59278985
2043,2043,58000,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.656361474,41.81501401,0,533400,195300,533400,195300,TRUE,15,Enfield,E09000010,8220.025,0,F,-0.071973853,51.64019356
1080,1080,58500,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13.9480752,22.94849583,1,542500,178700,542500,178700,TRUE,13,Greenwich,E09000011,5044.19,310.785,F,0.052728764,51.48878347
1395,1395,58500,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,7.4598678,19.38016529,0,550300,184400,550300,184400,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.167435099,51.53798433
1571,1571,58500,54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6.902263943,32.05876985,0,545100,186900,545100,186900,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.093533496,51.56181124
352,352,59000,53,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.038086498,41.76796283,0,534700,169100,534700,169100,TRUE,2,Bromley,E09000006,15013.487,0,F,-0.063214839,51.4044163
535,535,59000,30,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5.930025697,22.85896501,0,510200,171500,510200,171500,TRUE,3,Hounslow,E09000018,5658.541,60.755,F,-0.414581017,51.43128137
1040,1040,59000,60,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,5.596939803,27.94929462,0,551300,178000,551300,178000,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.17909805,51.4802069
1185,1185,59500,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.920543649,28.84806805,0,506300,181200,506300,181200,TRUE,6,Hillingdon,E09000017,11570.063,0,F,-0.467748111,51.51922314
1609,1609,59500,51,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6.686438393,17.93119162,0,547700,187400,547700,187400,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.131229296,51.56562935
1649,1649,59500,42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6.565656566,34.40638681,0,546800,187800,546800,187800,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.118419497,51.56945889
1517,1517,59950,83,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,4.979579014,62.23438805,0,526100,186000,526100,186000,TRUE,25,Camden,E09000007,2178.932,0,T,-0.180765454,51.5582914
690,690,59995,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6.976744186,43.79391101,0,530200,173300,530200,173300,TRUE,10,Lambeth,E09000022,2724.94,43.927,T,-0.126336778,51.44321621
1304,1304,59995,76,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,9.241795549,22.54325407,0,541400,183200,541400,183200,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.038698838,51.52950025
1305,1305,59995,105,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,9.241795549,22.54325407,0,541400,183200,541400,183200,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.038698838,51.52950025
1685,1685,59995,82,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4.00056346,36.47798742,0,551900,188200,551900,188200,TRUE,5,Havering,E09000016,11445.735,210.763,F,0.192131766,51.57170218
669,669,60000,63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7.100278183,37.95301781,0,536300,173100,536300,173100,TRUE,12,Lewisham,E09000023,3531.706,16.795,T,-0.038684859,51.43998341
1035,1035,60000,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.157326382,25.75016157,0,548900,177900,548900,177900,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.144516135,51.47994525
1075,1075,60000,83,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,5.157326382,25.75016157,0,548900,178600,548900,178600,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.144811336,51.48623561
1573,1573,60000,50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6.902263943,32.05876985,0,546500,186900,546500,186900,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.113718269,51.56144927
1587,1587,60000,61,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8.729724804,36.38983495,0,543800,187100,543800,187100,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.074871948,51.56394155
1588,1588,60000,47,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6.902263943,32.05876985,0,546400,187100,546400,187100,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.112359821,51.5632725
1611,1611,60000,58,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3.408545367,32.87000474,1,553500,187400,553500,187400,TRUE,5,Havering,E09000016,11445.735,210.763,F,0.214854057,51.56408024
1621,1621,60000,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6.588809482,40.66634476,0,538700,187600,538700,187600,TRUE,16,Waltham Forest,E09000031,3880.793,0,F,0.001531277,51.56971259
1647,1647,60000,40,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.265580854,33.76215637,0,544500,187800,544500,187800,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.085252849,51.57005311
2040,2040,60000,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.349256723,23.74913,0,534100,194900,534100,194900,TRUE,15,Enfield,E09000010,8220.025,0,F,-0.062016284,51.63643221
1615,1615,61500,79,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,10.35921626,24.53815261,0,537700,187500,537700,187500,TRUE,16,Waltham Forest,E09000031,3880.793,0,F,-0.012929194,51.56905904
1501,1501,62000,52,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,7.21042674,21.09601449,0,547300,185800,547300,185800,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.12479139,51.55135602
216,216,62500,40,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3.448275862,37.13196357,0,542200,166900,542200,166900,TRUE,2,Bromley,E09000006,15013.487,0,F,0.043670708,51.38281397
1706,1706,62500,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.167906696,42.54852506,1,515400,188500,515400,188500,TRUE,7,Harrow,E09000015,5046.33,0,F,-0.334238753,51.58305398
353,353,63000,62,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4.038086498,41.76796283,0,534700,169100,534700,169100,TRUE,2,Bromley,E09000006,15013.487,0,F,-0.063214839,51.4044163
2045,2045,63000,48,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3.656361474,41.81501401,0,533800,195400,533800,195400,TRUE,15,Enfield,E09000010,8220.025,0,F,-0.066157964,51.64099725
380,380,63500,43,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2.845649583,52.20074349,0,541100,169400,541100,169400,TRUE,2,Bromley,E09000006,15013.487,0,F,0.028866386,51.4055561
645,645,63500,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.570198759,60.11454754,1,528200,172900,528200,172900,TRUE,21,Wandsworth,E09000032,3522.022,95.6,T,-0.155246821,51.44007735
1593,1593,63500,93,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,6.686438393,17.93119162,0,547700,187200,547700,187200,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.131145238,51.56383211
2059,2059,63500,50,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,8.309407195,22.71883824,0,535300,195800,535300,195800,TRUE,15,Enfield,E09000010,8220.025,0,F,-0.044336947,51.64423315
151,151,63501,102,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3.820764153,35.38381201,0,525300,165800,525300,165800,TRUE,18,Sutton,E09000029,4384.698,0,F,-0.199463335,51.37691019
63,63,63950,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.76120675,45.80160422,1,525400,163500,525400,163500,TRUE,18,Sutton,E09000029,4384.698,0,F,-0.198838563,51.35621511
433,433,64000,54,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,8.017854191,35.39019964,0,534300,170200,534300,170200,TRUE,2,Bromley,E09000006,15013.487,0,F,-0.068546083,51.41439746
460,460,64000,52,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,7.037378865,36.05036448,0,535200,170500,535200,170500,TRUE,2,Bromley,E09000006,15013.487,0,F,-0.05549616,51.41687976
1293,1293,64000,65,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,5.026455026,23.29409893,0,551100,183100,551100,183100,TRUE,5,Havering,E09000016,11445.735,210.763,F,0.178404831,51.52608899
1558,1558,64000,44,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10.127093,25.75054456,0,539200,186800,539200,186800,TRUE,16,Waltham Forest,E09000031,3880.793,0,F,0.008424924,51.56239986
2044,2044,64000,44,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7.349256723,23.74913,0,535100,195300,535100,195300,TRUE,15,Enfield,E09000010,8220.025,0,F,-0.047419076,51.63978771
1094,1094,64500,60,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,5.157326382,25.75016157,0,549600,178900,549600,178900,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.155013888,51.48874669
1261,1261,64500,35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.77093073,18.75731728,0,540100,182700,540100,182700,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.019769177,51.52533091
1983,1983,64950,68,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5.712518045,24.80585951,0,545700,192300,545700,192300,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.104425765,51.61018261
226,226,64995,45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.091248345,35.21728049,0,534300,167200,534300,167200,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.06968183,51.38743481
1262,1262,64995,55,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.77093073,18.75731728,0,540100,182700,540100,182700,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.019769177,51.52533091
1345,1345,64995,53,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,11.84385067,18.95874263,0,540600,183800,540600,183800,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.027411873,51.53509214
293,293,65000,41,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.739409499,36.3177195,0,533600,168200,533600,168200,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.079360551,51.39658768
569,569,65000,58,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8.803066875,34.75506446,0,532500,171800,532500,171800,TRUE,10,Lambeth,E09000022,2724.94,43.927,T,-0.093819198,51.42920129
930,930,65000,50,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6.04406317,26.02205743,1,551300,176200,551300,176200,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.178327219,51.46403203
938,938,65000,52,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.876272514,28.83126935,0,546300,176300,546300,176300,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.10643479,51.46624546
1014,1014,65000,48,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6.107466417,33.79510057,0,543600,177500,543600,177500,TRUE,13,Greenwich,E09000011,5044.19,310.785,F,0.068075274,51.47772115
1339,1339,65000,47,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11.37860082,20.92389059,0,542000,183700,542000,183700,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.047545335,51.53384301
1484,1484,65000,47,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,9.456963428,26.2651142,0,544200,185600,544200,185600,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.080024174,51.55035967
1660,1660,65000,51,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4.084687767,27.19033233,0,548600,187900,548600,187900,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.144417502,51.56988592
2101,2101,65000,44,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.969667635,26.23325453,0,535700,198500,535700,198500,TRUE,15,Enfield,E09000010,8220.025,0,F,-0.037510731,51.66840162
103,103,66000,62,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3.933784265,37.24761426,0,526200,164600,526200,164600,TRUE,18,Sutton,E09000029,4384.698,0,F,-0.186963623,51.36592497
192,192,66500,46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7.472769888,25.89092873,0,532100,166400,532100,166400,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.101581641,51.38076108
692,692,66500,36,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8.488672211,36.24413867,0,536900,173300,536900,173300,TRUE,12,Lewisham,E09000023,3531.706,16.795,T,-0.029979158,51.44163616
591,591,67000,71,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5.193236715,31.74654752,0,543100,172100,543100,172100,TRUE,13,Greenwich,E09000011,5044.19,310.785,F,0.058694599,51.42931936
824,824,67000,73,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,8.011194683,29.58310434,0,540300,174900,540300,174900,TRUE,13,Greenwich,E09000011,5044.19,310.785,F,0.019549831,51.45518326
1265,1265,67500,80,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5.026455026,23.29409893,0,551200,182700,551200,182700,TRUE,5,Havering,E09000016,11445.735,210.763,F,0.179673708,51.52246784
1418,1418,67500,57,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,12.07482993,21.30054189,0,541700,184800,541700,184800,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.043665383,51.54380379
285,285,67950,57,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6.091248345,35.21728049,0,534200,168100,534200,168100,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.070777986,51.39554729
303,303,67950,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.525220176,31.35201306,1,532500,168300,532500,168300,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.095127428,51.39774447
119,119,68000,69,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4.788519637,37.74218918,0,537200,164900,537200,164900,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.02891413,51.36607007
306,306,68000,60,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6.091248345,35.21728049,0,534600,168300,534600,168300,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.06495535,51.39725002
944,944,68000,81,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.943005181,21.93677777,1,551900,176400,551900,176400,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.18704486,51.46566849
1145,1145,68000,60,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,7.783665266,27.19826775,0,547500,180000,547500,180000,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.125245377,51.4991834
1821,1821,68000,53,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7.312744054,33.40355376,0,536700,189700,536700,189700,TRUE,16,Waltham Forest,E09000031,3880.793,0,F,-0.026493872,51.58907392
2006,2006,68000,46,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.679335955,30.34567146,0,538900,193000,538900,193000,TRUE,16,Waltham Forest,E09000031,3880.793,0,F,0.006553511,51.61819234
98,98,69000,45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.951352019,48.4373851,0,532500,164500,532500,164500,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.096545112,51.36359114
1058,1058,69000,63,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,5.157326382,25.75016157,0,549300,178400,549300,178400,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.150484147,51.48433289
1215,1215,69000,74,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,12.03338743,16.61472709,0,540300,181900,540300,181900,TRUE,30,Newham,E09000025,3857.806,237.637,T,0.022331969,51.51809176
1762,1762,69000,49,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13.03362297,25.23215929,0,533500,189100,533500,189100,TRUE,29,Haringey,E09000014,2959.837,0,T,-0.072891286,51.58444896
197,197,69500,61,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8.018867925,28.23650739,0,532700,166500,532700,166500,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.092926754,51.38151987
703,703,69500,50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6.163916542,40.34041942,0,539300,173400,539300,173400,TRUE,12,Lewisham,E09000023,3531.706,16.795,T,0.0045742,51.44194962
1553,1553,69500,70,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,4.838373306,25.02026753,0,551100,186700,551100,186700,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.179950696,51.55843835
1602,1602,69500,56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5.72450805,38.8180963,0,542800,187300,542800,187300,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.060534425,51.565993
1775,1775,69500,48,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8.710930276,32.12121212,0,538200,189200,538200,189200,TRUE,16,Waltham Forest,E09000031,3880.793,0,F,-0.005049659,51.58421448
1899,1899,69500,40,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4.793656515,38.05490926,0,541100,190700,541100,190700,TRUE,17,Redbridge,E09000026,5644.225,2.3,F,0.037387523,51.59697576
183,183,69950,60,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5.951352019,48.4373851,0,532800,166300,532800,166300,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.091565262,51.37969894
